trait_b	Condition	trait_a	trait_cor
PC2	arsenic3	PC3	6.65821158888698e-16
PC3	arsenic3	PC3	1
mean.norm.EXT	arsenic4	mean.norm.EXT	1
mean.norm.yellow	arsenic4	mean.norm.EXT	0.773252713942927
mean.TOF	arsenic4	mean.norm.EXT	0.46652328909546
norm.n	arsenic4	mean.norm.EXT	-0.199402012221496
PC1	arsenic4	mean.norm.EXT	-0.885222555473827
PC2	arsenic4	mean.norm.EXT	0.317053226524423
PC3	arsenic4	mean.norm.EXT	0.0972959143591936
mean.norm.EXT	arsenic4	mean.norm.yellow	0.773252713942927
mean.norm.yellow	arsenic4	mean.norm.yellow	1
mean.TOF	arsenic4	mean.norm.yellow	0.338698092099628
norm.n	arsenic4	mean.norm.yellow	-0.275079980669033
PC1	arsenic4	mean.norm.yellow	-0.859917505328742
PC2	arsenic4	mean.norm.yellow	0.244490251559333
PC3	arsenic4	mean.norm.yellow	0.33279311774546
mean.norm.EXT	arsenic4	mean.TOF	0.46652328909546
mean.norm.yellow	arsenic4	mean.TOF	0.338698092099628
mean.TOF	arsenic4	mean.TOF	1
norm.n	arsenic4	mean.TOF	-0.256961137989516
PC1	arsenic4	mean.TOF	-0.679895915185538
PC2	arsenic4	mean.TOF	-0.125251951938871
PC3	arsenic4	mean.TOF	-0.718208421436167
mean.norm.EXT	arsenic4	norm.n	-0.199402012221496
mean.norm.yellow	arsenic4	norm.n	-0.275079980669033
mean.TOF	arsenic4	norm.n	-0.256961137989516
norm.n	arsenic4	norm.n	1
PC1	arsenic4	norm.n	0.482508707831544
PC2	arsenic4	norm.n	0.840908811645056
PC3	arsenic4	norm.n	-0.240418057860926
mean.norm.EXT	arsenic4	PC1	-0.885222555473827
mean.norm.yellow	arsenic4	PC1	-0.859917505328742
mean.TOF	arsenic4	PC1	-0.679895915185538
norm.n	arsenic4	PC1	0.482508707831544
PC1	arsenic4	PC1	1
PC2	arsenic4	PC1	-2.94027876432921e-16
PC3	arsenic4	PC1	4.41114806033252e-17
mean.norm.EXT	arsenic4	PC2	0.317053226524423
mean.norm.yellow	arsenic4	PC2	0.244490251559333
mean.TOF	arsenic4	PC2	-0.125251951938871
norm.n	arsenic4	PC2	0.840908811645056
PC1	arsenic4	PC2	-2.94027876432921e-16
PC2	arsenic4	PC2	1
PC3	arsenic4	PC2	4.89078015007901e-18
mean.norm.EXT	arsenic4	PC3	0.0972959143591936
mean.norm.yellow	arsenic4	PC3	0.33279311774546
mean.TOF	arsenic4	PC3	-0.718208421436167
norm.n	arsenic4	PC3	-0.240418057860926
PC1	arsenic4	PC3	4.41114806033252e-17
PC2	arsenic4	PC3	4.89078015007901e-18
PC3	arsenic4	PC3	1
mean.norm.EXT	Water	mean.norm.EXT	1
mean.norm.yellow	Water	mean.norm.EXT	0.846159138709111
mean.TOF	Water	mean.norm.EXT	0.374493992105744
norm.n	Water	mean.norm.EXT	-0.361064154838957
PC1	Water	mean.norm.EXT	0.928922703000995
PC2	Water	mean.norm.EXT	-0.0619300490774787
PC3	Water	mean.norm.EXT	-0.240596937000171
mean.norm.EXT	Water	mean.norm.yellow	0.846159138709111
mean.norm.yellow	Water	mean.norm.yellow	1
mean.TOF	Water	mean.norm.yellow	0.415963658512074
norm.n	Water	mean.norm.yellow	-0.265978880740304
PC1	Water	mean.norm.yellow	0.91976027197237
PC2	Water	mean.norm.yellow	0.0534774692198432
PC3	Water	mean.norm.yellow	-0.283377100394293
mean.norm.EXT	Water	mean.TOF	0.374493992105744
mean.norm.yellow	Water	mean.TOF	0.415963658512074
mean.TOF	Water	mean.TOF	1
norm.n	Water	mean.TOF	0.0268925219654342
PC1	Water	mean.TOF	0.576356354793859
PC2	Water	mean.TOF	0.63459875086314
PC3	Water	mean.TOF	0.514810314029617
mean.norm.EXT	Water	norm.n	-0.361064154838957
mean.norm.yellow	Water	norm.n	-0.265978880740304
mean.TOF	Water	norm.n	0.0268925219654342
norm.n	Water	norm.n	1
PC1	Water	norm.n	-0.452991349606053
PC2	Water	norm.n	0.789006779407696
PC3	Water	norm.n	-0.413740262678203
mean.norm.EXT	Water	PC1	0.928922703000995
mean.norm.yellow	Water	PC1	0.91976027197237
mean.TOF	Water	PC1	0.576356354793859
norm.n	Water	PC1	-0.452991349606053
PC1	Water	PC1	1
PC2	Water	PC1	-2.10232154840426e-16
PC3	Water	PC1	-3.01164145117977e-16
mean.norm.EXT	Water	PC2	-0.0619300490774787
mean.norm.yellow	Water	PC2	0.0534774692198432
mean.TOF	Water	PC2	0.63459875086314
norm.n	Water	PC2	0.789006779407696
PC1	Water	PC2	-2.10232154840426e-16
PC2	Water	PC2	1
PC3	Water	PC2	-3.62985655744498e-16
mean.norm.EXT	Water	PC3	-0.240596937000171
mean.norm.yellow	Water	PC3	-0.283377100394293
mean.TOF	Water	PC3	0.514810314029617
norm.n	Water	PC3	-0.413740262678203
PC1	Water	PC3	-3.01164145117977e-16
PC2	Water	PC3	-3.62985655744498e-16
PC3	Water	PC3	1
