term	power	df	sumsq	meansq	statistic	p.value	etasq	partial.etasq	omegasq	partial.omegasq	cohens.f	condition	trait	strain1	strain2
Strain	0.053	1	0.004	0.004	0.025	0.876	0.001	0.001	-0.03	-0.03	0.028	arsenic4	mean.norm.EXT	DL238	N2
Strain	0.137	1	0.087	0.087	0.729	0.399	0.022	0.022	-0.008	-0.008	0.151	arsenic4	mean.norm.EXT	JU775	N2
Strain	0.469	3	0.779	0.26	1.787	0.158	0.074	0.074	0.032	0.032	0.283	arsenic4	mean.norm.EXT	ALL	ALL
Strain	0.949	1	0.037	0.037	12.929	0.001	0.27	0.27	0.244	0.244	0.608	arsenic4	mean.norm.yellow	CB4856	DL238
Strain	0.864	1	0.017	0.017	9.365	0.004	0.211	0.211	0.184	0.184	0.517	arsenic4	mean.norm.yellow	CB4856	JU775
Strain	0.867	1	0.024	0.024	9.445	0.004	0.213	0.213	0.186	0.186	0.519	arsenic4	mean.norm.yellow	CB4856	N2
Strain	0.175	1	0.003	0.003	1.042	0.315	0.032	0.032	0.001	0.001	0.18	arsenic4	mean.norm.yellow	DL238	JU775
Strain	0.088	1	0.001	0.001	0.324	0.573	0.01	0.01	-0.02	-0.02	0.101	arsenic4	mean.norm.yellow	DL238	N2
Strain	0.07	1	0	0	0.169	0.684	0.005	0.005	-0.025	-0.025	0.073	arsenic4	mean.norm.yellow	JU775	N2
Strain	0.92	3	0.043	0.014	5.058	0.003	0.185	0.185	0.146	0.146	0.476	arsenic4	mean.norm.yellow	ALL	ALL
Strain	0.312	1	2416.065	2416.065	2.16	0.151	0.058	0.058	0.03	0.03	0.248	arsenic4	mean.TOF	CB4856	DL238
Strain	0.233	1	1554.001	1554.001	1.507	0.228	0.041	0.041	0.014	0.014	0.208	arsenic4	mean.TOF	CB4856	JU775
Strain	0.074	1	218.299	218.299	0.21	0.65	0.006	0.006	-0.022	-0.022	0.077	arsenic4	mean.TOF	CB4856	N2
Strain	0.059	1	87.62	87.62	0.077	0.783	0.002	0.002	-0.028	-0.028	0.049	arsenic4	mean.TOF	DL238	JU775
Strain	0.165	1	1093.243	1093.243	0.955	0.336	0.029	0.029	-0.001	-0.001	0.173	arsenic4	mean.TOF	DL238	N2
Strain	0.113	1	561.863	561.863	0.535	0.47	0.016	0.016	-0.014	-0.014	0.129	arsenic4	mean.TOF	JU775	N2
Strain	0.256	3	3017.214	1005.738	0.927	0.433	0.04	0.04	-0.003	-0.003	0.204	arsenic4	mean.TOF	ALL	ALL
Strain	1	1	8872.428	8872.428	118.85	0	0.773	0.773	0.761	0.761	1.843	arsenic4	norm.n	CB4856	DL238
Strain	0.998	1	1711.855	1711.855	22.994	0	0.396	0.396	0.373	0.373	0.811	arsenic4	norm.n	CB4856	JU775
Strain	0.824	1	610.709	610.709	8.351	0.007	0.193	0.193	0.166	0.166	0.488	arsenic4	norm.n	CB4856	N2
Strain	1	1	2580.608	2580.608	315.634	0	0.908	0.908	0.902	0.902	3.141	arsenic4	norm.n	DL238	JU775
Strain	1	1	13078.26	13078.26	1940.72	0	0.984	0.984	0.983	0.983	7.788	arsenic4	norm.n	DL238	N2
Strain	1	1	4039.942	4039.942	620.204	0	0.951	0.951	0.948	0.948	4.402	arsenic4	norm.n	JU775	N2
Strain	1	3	15267.243	5089.081	120.856	0	0.844	0.844	0.835	0.835	2.326	arsenic4	norm.n	ALL	ALL
Strain	0.749	1	3.43	3.43	6.927	0.012	0.158	0.158	0.132	0.132	0.433	arsenic1	PC1	CB4856	DL238
Strain	0.994	1	12.103	12.103	19.944	0	0.35	0.35	0.327	0.327	0.734	arsenic1	PC1	CB4856	JU775
Strain	0.965	1	5.697	5.697	14.26	0.001	0.273	0.273	0.249	0.249	0.613	arsenic1	PC1	CB4856	N2
Strain	0.563	1	2.58	2.58	4.486	0.041	0.111	0.111	0.084	0.084	0.353	arsenic1	PC1	DL238	JU775
Strain	0.133	1	0.254	0.254	0.699	0.408	0.019	0.019	-0.008	-0.008	0.137	arsenic1	PC1	DL238	N2
Strain	0.371	1	1.261	1.261	2.657	0.112	0.067	0.067	0.041	0.041	0.268	arsenic1	PC1	JU775	N2
Strain	0.995	3	12.703	4.234	8.731	0	0.261	0.261	0.229	0.229	0.595	arsenic1	PC1	ALL	ALL
Strain	0.824	1	3.71	3.71	8.371	0.006	0.189	0.189	0.162	0.162	0.482	arsenic2	PC1	CB4856	DL238
Strain	0.982	1	10.954	10.954	16.471	0	0.302	0.302	0.279	0.279	0.658	arsenic2	PC1	CB4856	JU775
Strain	0.949	1	4.67	4.67	12.95	0.001	0.254	0.254	0.23	0.23	0.584	arsenic2	PC1	CB4856	N2
Strain	0.417	1	1.678	1.678	3.059	0.089	0.078	0.078	0.051	0.051	0.291	arsenic2	PC1	DL238	JU775
Strain	0.066	1	0.031	0.031	0.138	0.712	0.004	0.004	-0.023	-0.023	0.062	arsenic2	PC1	DL238	N2
Strain	0.395	1	1.32	1.32	2.866	0.099	0.07	0.07	0.045	0.045	0.275	arsenic2	PC1	JU775	N2
Strain	0.993	3	11.329	3.776	8.354	0	0.253	0.253	0.22	0.22	0.582	arsenic2	PC1	ALL	ALL
Strain	0.133	1	0.387	0.387	0.699	0.408	0.018	0.018	-0.008	-0.008	0.136	arsenic3	PC1	CB4856	DL238
Strain	0.05	1	0.001	0.001	0.003	0.954	0	0	-0.026	-0.026	0.009	arsenic3	PC1	CB4856	JU775
Strain	0.276	1	0.807	0.807	1.862	0.18	0.047	0.047	0.021	0.021	0.221	arsenic3	PC1	CB4856	N2
Strain	0.174	1	0.342	0.342	1.033	0.316	0.026	0.026	0.001	0.001	0.165	arsenic3	PC1	DL238	JU775
Strain	0.076	1	0.076	0.076	0.224	0.638	0.006	0.006	-0.02	-0.02	0.077	arsenic3	PC1	DL238	N2
Strain	0.468	1	0.74	0.74	3.531	0.068	0.085	0.085	0.06	0.06	0.305	arsenic3	PC1	JU775	N2
Strain	0.282	3	1.177	0.392	1.027	0.385	0.039	0.039	0.001	0.001	0.201	arsenic3	PC1	ALL	ALL
Strain	0.423	1	3.407	3.407	3.115	0.086	0.082	0.082	0.054	0.054	0.298	arsenic4	PC1	CB4856	DL238
Strain	0.393	1	1.958	1.958	2.853	0.1	0.075	0.075	0.048	0.048	0.286	arsenic4	PC1	CB4856	JU775
Strain	0.637	1	5.421	5.421	5.34	0.027	0.132	0.132	0.105	0.105	0.391	arsenic4	PC1	CB4856	N2
Strain	0.075	1	0.184	0.184	0.215	0.646	0.007	0.007	-0.024	-0.024	0.082	arsenic4	PC1	DL238	JU775
Strain	0.07	1	0.215	0.215	0.177	0.677	0.005	0.005	-0.025	-0.025	0.074	arsenic4	PC1	DL238	N2
Strain	0.174	1	0.798	0.798	1.033	0.317	0.031	0.031	0.001	0.001	0.18	arsenic4	PC1	JU775	N2
Strain	0.561	3	6.195	2.065	2.195	0.097	0.089	0.089	0.048	0.048	0.314	arsenic4	PC1	ALL	ALL
Strain	0.401	1	1.841	1.841	2.923	0.096	0.073	0.073	0.047	0.047	0.281	arsenic1	PC2	CB4856	DL238
Strain	0.126	1	0.259	0.259	0.641	0.429	0.017	0.017	-0.009	-0.009	0.132	arsenic1	PC2	CB4856	JU775
Strain	0.363	1	0.869	0.869	2.586	0.116	0.064	0.064	0.038	0.038	0.261	arsenic1	PC2	CB4856	N2
Strain	0.223	1	0.701	0.701	1.429	0.24	0.038	0.038	0.011	0.011	0.199	arsenic1	PC2	DL238	JU775
Strain	0.104	1	0.191	0.191	0.457	0.503	0.012	0.012	-0.014	-0.014	0.111	arsenic1	PC2	DL238	N2
Strain	0.155	1	0.169	0.169	0.878	0.355	0.023	0.023	-0.003	-0.003	0.154	arsenic1	PC2	JU775	N2
Strain	0.433	3	2.017	0.672	1.636	0.188	0.062	0.062	0.024	0.024	0.258	arsenic1	PC2	ALL	ALL
Strain	0.913	1	2.475	2.475	11.037	0.002	0.235	0.235	0.209	0.209	0.554	arsenic2	PC2	CB4856	DL238
Strain	0.473	1	1.109	1.109	3.579	0.066	0.086	0.086	0.061	0.061	0.307	arsenic2	PC2	CB4856	JU775
