Condition	Strain	Trait	Value
arsenictrioxide	QX442	mean.TOF	-7.31927744274263
arsenictrioxide	QX372	mean.TOF	18.9100625040958
arsenictrioxide	QX334	norm.n	19.6764782521535
arsenictrioxide	QX378	norm.n	12.2891537128045
arsenictrioxide	QX445	norm.n	16.1544893348132
arsenictrioxide	QX465	norm.n	8.25991547208427
arsenictrioxide	QX442	norm.n	-1.26183840593013
arsenictrioxide	QX372	norm.n	17.9481917596745
arsenictrioxide	QX321	mean.norm.EXT	0.230326027252431
arsenictrioxide	QX411	mean.norm.EXT	0.0886810057203069
arsenictrioxide	QX336	mean.norm.EXT	-0.183455079282057
arsenictrioxide	QX524	mean.norm.EXT	-0.311373926221716
arsenictrioxide	QX383	mean.norm.EXT	0.0864282021412574
arsenictrioxide	QX333	mean.norm.EXT	0.18153097388463
arsenictrioxide	QX435	mean.norm.EXT	0.0374608567805743
arsenictrioxide	QX321	mean.norm.yellow	0.0536728433678286
arsenictrioxide	QX411	mean.norm.yellow	0.100822558910458
arsenictrioxide	QX336	mean.norm.yellow	-0.0910233740740598
arsenictrioxide	QX524	mean.norm.yellow	-0.233954093466599
arsenictrioxide	QX383	mean.norm.yellow	-0.0122428476088948
arsenictrioxide	QX333	mean.norm.yellow	0.282708884508143
arsenictrioxide	QX435	mean.norm.yellow	0.030186229437726
arsenictrioxide	QX321	mean.TOF	6.78322073861944
arsenictrioxide	QX411	mean.TOF	-22.7197301033244
arsenictrioxide	QX336	mean.TOF	-4.09740459045538
arsenictrioxide	QX524	mean.TOF	-17.7424206919316
arsenictrioxide	QX383	mean.TOF	0.0509162950376983
arsenictrioxide	QX333	mean.TOF	29.422084874318
arsenictrioxide	QX435	mean.TOF	8.54536103932994
arsenictrioxide	QX321	norm.n	7.16056371890986
arsenictrioxide	QX411	norm.n	17.6492508798128
arsenictrioxide	QX336	norm.n	-10.7617119501922
arsenictrioxide	QX524	norm.n	-29.8953829444168
arsenictrioxide	QX383	norm.n	-0.634702751462955
arsenictrioxide	QX333	norm.n	81.5862741649131
arsenictrioxide	QX435	norm.n	25.8154828389945
arsenictrioxide	QX444	mean.norm.EXT	-0.266536871726641
arsenictrioxide	QX252	mean.norm.EXT	0.233397185751082
arsenictrioxide	QX270	mean.norm.EXT	0.114912034624287
arsenictrioxide	QX444	mean.norm.yellow	-0.115857018219302
arsenictrioxide	QX252	mean.norm.yellow	0.126438351256334
arsenictrioxide	QX270	mean.norm.yellow	-0.0411034991812967
arsenictrioxide	QX444	mean.TOF	-29.0832633351986
arsenictrioxide	QX252	mean.TOF	12.4969417961322
arsenictrioxide	QX270	mean.TOF	-6.80803566268524
arsenictrioxide	QX444	norm.n	30.4990663942561
arsenictrioxide	QX252	norm.n	27.4525877144597
arsenictrioxide	QX270	norm.n	-5.7832683356987
arsenictrioxide	QX421	mean.norm.EXT	0.132374486168884
arsenictrioxide	QX272	mean.norm.EXT	0.397892938101198
arsenictrioxide	QX406	mean.norm.EXT	-0.129399767724518
arsenictrioxide	QX446	mean.norm.EXT	0.286946694146337
arsenictrioxide	QX332	mean.norm.EXT	-0.373158683942468
arsenictrioxide	QX254	mean.norm.EXT	0.440959409343041
arsenictrioxide	QX421	mean.norm.yellow	0.0640113015996589
arsenictrioxide	QX272	mean.norm.yellow	0.174216859656338
arsenictrioxide	QX406	mean.norm.yellow	-0.032685334308328
arsenictrioxide	QX446	mean.norm.yellow	-0.0761393824367881
arsenictrioxide	QX332	mean.norm.yellow	-0.108522754725731
arsenictrioxide	QX254	mean.norm.yellow	0.129717312760544
arsenictrioxide	QX421	mean.TOF	-4.12850555995831
arsenictrioxide	QX272	mean.TOF	22.6203364024454
arsenictrioxide	QX406	mean.TOF	-5.76869367954467
arsenictrioxide	QX446	mean.TOF	10.904198392305
arsenictrioxide	QX332	mean.TOF	-65.9046686639308
arsenictrioxide	QX254	mean.TOF	21.2323476113206
arsenictrioxide	QX421	norm.n	31.25860533377
arsenictrioxide	QX272	norm.n	-19.6153154897471
