trait	strain	value	trait_input
mean.TOF	ED3049	40.1269510806277	EXT_BROOD_TOF
mean.TOF	ED3052	-16.3291989712926	EXT_BROOD_TOF
mean.TOF	ED3073	3.12187214399918	EXT_BROOD_TOF
mean.TOF	ED3077	-24.6419372424714	EXT_BROOD_TOF
mean.TOF	EG4347	-33.1393856766584	EXT_BROOD_TOF
mean.TOF	EG4349	-1.38406242487215	EXT_BROOD_TOF
mean.TOF	EG4724	48.9679247438538	EXT_BROOD_TOF
mean.TOF	EG4725	1.18205663551197	EXT_BROOD_TOF
mean.TOF	EG4946	7.24018838846699	EXT_BROOD_TOF
mean.TOF	JT11398	-11.8465061467338	EXT_BROOD_TOF
mean.TOF	JU1172	-4.24407622612415	EXT_BROOD_TOF
mean.TOF	JU1200	8.69446237767903	EXT_BROOD_TOF
mean.TOF	JU1212	4.74680032810415	EXT_BROOD_TOF
mean.TOF	JU1213	-34.2753612989665	EXT_BROOD_TOF
mean.TOF	JU1242	27.0870950412157	EXT_BROOD_TOF
mean.TOF	JU1246	-57.4365441588902	EXT_BROOD_TOF
mean.TOF	JU1395	6.2118650824159	EXT_BROOD_TOF
mean.TOF	JU1409	29.9923861302655	EXT_BROOD_TOF
mean.TOF	JU1440	16.0423320168386	EXT_BROOD_TOF
mean.TOF	JU1491	-17.7968289946653	EXT_BROOD_TOF
mean.TOF	JU1530	-14.4301690538458	EXT_BROOD_TOF
mean.TOF	JU1568	26.3618858013979	EXT_BROOD_TOF
mean.TOF	JU1580	-66.8107301065669	EXT_BROOD_TOF
mean.TOF	JU1581	18.7304481590274	EXT_BROOD_TOF
mean.TOF	JU1586	15.4428457363955	EXT_BROOD_TOF
mean.TOF	JU1652	9.45048028382001	EXT_BROOD_TOF
mean.TOF	JU1896	-2.27586930469483	EXT_BROOD_TOF
mean.TOF	JU258	-31.3648098048487	EXT_BROOD_TOF
mean.TOF	JU310	2.59706835273132	EXT_BROOD_TOF
mean.TOF	JU311	25.5296493783017	EXT_BROOD_TOF
mean.TOF	JU323	0.294905108246637	EXT_BROOD_TOF
mean.TOF	JU346	-40.6637566528524	EXT_BROOD_TOF
mean.TOF	JU360	12.5127095584854	EXT_BROOD_TOF
mean.TOF	JU367	-29.3101975236078	EXT_BROOD_TOF
mean.TOF	JU393	-0.00502463776935569	EXT_BROOD_TOF
mean.TOF	JU394	-6.29774739850639	EXT_BROOD_TOF
