plate	condition	control	strain	row	col	trait	value
3	DMSO	NA	Ju775	E	1	q10.TOF	97.4
3	albendazole125	DMSO	DL238	E	10	q10.TOF	95
3	albendazole25	DMSO	DL238	E	11	q10.TOF	81
3	albendazole3125	DMSO	Ju775	E	2	q10.TOF	102.4
3	albendazole625	DMSO	Ju775	E	3	q10.TOF	138.4
3	albendazole25	DMSO	Ju775	E	5	q10.TOF	71.6
3	albendazole3125	DMSO	DL238	E	8	q10.TOF	96.6
3	albendazole625	DMSO	DL238	E	9	q10.TOF	90
3	DMSO	NA	CB4856	F	1	q10.TOF	99.7
3	albendazole125	DMSO	N2	F	10	q10.TOF	89.6
3	albendazole25	DMSO	N2	F	11	q10.TOF	71.3
3	albendazole3125	DMSO	CB4856	F	2	q10.TOF	101.4
3	albendazole625	DMSO	CB4856	F	3	q10.TOF	95.8
3	albendazole125	DMSO	CB4856	F	4	q10.TOF	77.6
3	albendazole25	DMSO	CB4856	F	5	q10.TOF	73.4
3	DMSO	NA	N2	F	7	q10.TOF	109.4
3	albendazole3125	DMSO	N2	F	8	q10.TOF	90.6
3	albendazole625	DMSO	N2	F	9	q10.TOF	79
3	DMSO	NA	CB4856	G	1	q10.TOF	83
3	albendazole125	DMSO	Ju775	G	10	q10.TOF	82.5
3	albendazole25	DMSO	Ju775	G	11	q10.TOF	94.6
3	albendazole3125	DMSO	CB4856	G	2	q10.TOF	109.8
3	albendazole125	DMSO	CB4856	G	4	q10.TOF	85.6
3	albendazole25	DMSO	CB4856	G	5	q10.TOF	75.8
3	albendazole625	DMSO	Ju775	G	9	q10.TOF	99.2
3	DMSO	NA	N2	H	1	q10.TOF	94.1
3	albendazole625	DMSO	N2	H	3	q10.TOF	94.4
3	albendazole25	DMSO	N2	H	5	q10.TOF	67
3	DMSO	NA	DL238	H	7	q10.TOF	83.3
3	DMSO	NA	N2	A	1	q25.TOF	108
3	albendazole125	DMSO	CB4856	A	10	q25.TOF	102
3	albendazole25	DMSO	CB4856	A	11	q25.TOF	95
3	albendazole3125	DMSO	N2	A	2	q25.TOF	130
3	albendazole625	DMSO	N2	A	3	q25.TOF	126
3	albendazole125	DMSO	N2	A	4	q25.TOF	104
3	albendazole25	DMSO	N2	A	5	q25.TOF	95
3	DMSO	NA	CB4856	A	7	q25.TOF	129.25
3	albendazole3125	DMSO	CB4856	A	8	q25.TOF	132.25
3	albendazole625	DMSO	CB4856	A	9	q25.TOF	126.25
3	DMSO	NA	DL238	B	1	q25.TOF	144
3	albendazole125	DMSO	Ju775	B	10	q25.TOF	144.5
3	albendazole25	DMSO	Ju775	B	11	q25.TOF	125.25
3	albendazole3125	DMSO	DL238	B	2	q25.TOF	143.25
3	albendazole625	DMSO	DL238	B	3	q25.TOF	153
3	albendazole125	DMSO	DL238	B	4	q25.TOF	136.25
3	albendazole25	DMSO	DL238	B	5	q25.TOF	120.75
3	DMSO	NA	Ju775	B	7	q25.TOF	149
3	albendazole625	DMSO	Ju775	B	9	q25.TOF	159
3	DMSO	NA	DL238	C	1	q25.TOF	128
3	albendazole125	DMSO	N2	C	10	q25.TOF	114.75
3	albendazole25	DMSO	N2	C	11	q25.TOF	93
3	albendazole3125	DMSO	DL238	C	2	q25.TOF	131
3	albendazole625	DMSO	DL238	C	3	q25.TOF	147
3	albendazole125	DMSO	DL238	C	4	q25.TOF	130.25
3	albendazole25	DMSO	DL238	C	5	q25.TOF	118
3	DMSO	NA	N2	C	7	q25.TOF	156.5
3	albendazole3125	DMSO	N2	C	8	q25.TOF	128
3	albendazole625	DMSO	N2	C	9	q25.TOF	137
3	DMSO	NA	Ju775	D	1	q25.TOF	144.5
3	albendazole125	DMSO	CB4856	D	10	q25.TOF	108.5
3	albendazole25	DMSO	CB4856	D	11	q25.TOF	102
3	albendazole3125	DMSO	Ju775	D	2	q25.TOF	129
3	albendazole625	DMSO	Ju775	D	3	q25.TOF	129
3	albendazole125	DMSO	Ju775	D	4	q25.TOF	148.5
3	albendazole25	DMSO	Ju775	D	5	q25.TOF	133
3	DMSO	NA	CB4856	D	7	q25.TOF	138
3	albendazole3125	DMSO	CB4856	D	8	q25.TOF	125
3	albendazole625	DMSO	CB4856	D	9	q25.TOF	132
3	DMSO	NA	Ju775	E	1	q25.TOF	153
3	albendazole125	DMSO	DL238	E	10	q25.TOF	135
3	albendazole25	DMSO	DL238	E	11	q25.TOF	105
3	albendazole3125	DMSO	Ju775	E	2	q25.TOF	177.5
3	albendazole625	DMSO	Ju775	E	3	q25.TOF	190
3	albendazole25	DMSO	Ju775	E	5	q25.TOF	81.25
3	albendazole3125	DMSO	DL238	E	8	q25.TOF	150
3	albendazole625	DMSO	DL238	E	9	q25.TOF	136.5
3	DMSO	NA	CB4856	F	1	q25.TOF	142.25
3	albendazole125	DMSO	N2	F	10	q25.TOF	115
3	albendazole25	DMSO	N2	F	11	q25.TOF	101.75
3	albendazole3125	DMSO	CB4856	F	2	q25.TOF	142.5
3	albendazole625	DMSO	CB4856	F	3	q25.TOF	139
3	albendazole125	DMSO	CB4856	F	4	q25.TOF	100.5
3	albendazole25	DMSO	CB4856	F	5	q25.TOF	96.5
3	DMSO	NA	N2	F	7	q25.TOF	156
3	albendazole3125	DMSO	N2	F	8	q25.TOF	127
3	albendazole625	DMSO	N2	F	9	q25.TOF	121.5
3	DMSO	NA	CB4856	G	1	q25.TOF	134.25
3	albendazole125	DMSO	Ju775	G	10	q25.TOF	131.25
3	albendazole25	DMSO	Ju775	G	11	q25.TOF	123
3	albendazole3125	DMSO	CB4856	G	2	q25.TOF	143
3	albendazole125	DMSO	CB4856	G	4	q25.TOF	114.5
3	albendazole25	DMSO	CB4856	G	5	q25.TOF	101.5
3	albendazole625	DMSO	Ju775	G	9	q25.TOF	154.5
3	DMSO	NA	N2	H	1	q25.TOF	127.25
3	albendazole625	DMSO	N2	H	3	q25.TOF	133
3	albendazole25	DMSO	N2	H	5	q25.TOF	76
3	DMSO	NA	DL238	H	7	q25.TOF	123
3	DMSO	NA	N2	A	1	median.TOF	174
3	albendazole125	DMSO	CB4856	A	10	median.TOF	167.5
3	albendazole25	DMSO	CB4856	A	11	median.TOF	137
3	albendazole3125	DMSO	N2	A	2	median.TOF	206
3	albendazole625	DMSO	N2	A	3	median.TOF	196
3	albendazole125	DMSO	N2	A	4	median.TOF	168.5
3	albendazole25	DMSO	N2	A	5	median.TOF	129
3	DMSO	NA	CB4856	A	7	median.TOF	231.5
3	albendazole3125	DMSO	CB4856	A	8	median.TOF	219.5
3	albendazole625	DMSO	CB4856	A	9	median.TOF	221
3	DMSO	NA	DL238	B	1	median.TOF	214
3	albendazole125	DMSO	Ju775	B	10	median.TOF	197
3	albendazole25	DMSO	Ju775	B	11	median.TOF	171
3	albendazole3125	DMSO	DL238	B	2	median.TOF	212.5
3	albendazole625	DMSO	DL238	B	3	median.TOF	217.5
3	albendazole125	DMSO	DL238	B	4	median.TOF	189
3	albendazole25	DMSO	DL238	B	5	median.TOF	163
3	DMSO	NA	Ju775	B	7	median.TOF	245.5
3	albendazole625	DMSO	Ju775	B	9	median.TOF	221
3	DMSO	NA	DL238	C	1	median.TOF	209
3	albendazole125	DMSO	N2	C	10	median.TOF	159
3	albendazole25	DMSO	N2	C	11	median.TOF	122
3	albendazole3125	DMSO	DL238	C	2	median.TOF	196.5
3	albendazole625	DMSO	DL238	C	3	median.TOF	201
3	albendazole125	DMSO	DL238	C	4	median.TOF	197
3	albendazole25	DMSO	DL238	C	5	median.TOF	157.5
3	DMSO	NA	N2	C	7	median.TOF	256
3	albendazole3125	DMSO	N2	C	8	median.TOF	202
3	albendazole625	DMSO	N2	C	9	median.TOF	192
3	DMSO	NA	Ju775	D	1	median.TOF	212
3	albendazole125	DMSO	CB4856	D	10	median.TOF	163
3	albendazole25	DMSO	CB4856	D	11	median.TOF	134
3	albendazole3125	DMSO	Ju775	D	2	median.TOF	215
3	albendazole625	DMSO	Ju775	D	3	median.TOF	188
3	albendazole125	DMSO	Ju775	D	4	median.TOF	194
3	albendazole25	DMSO	Ju775	D	5	median.TOF	188.5
3	DMSO	NA	CB4856	D	7	median.TOF	232
3	albendazole3125	DMSO	CB4856	D	8	median.TOF	179
