strain,amsacrine_f.L1,etoposide_median.TOF
LKC34,0.0266145695931448,15.0832986983934
LSJ1,0.0282728087917251,-20.7861336260883
MY1,-0.0316070398260074,-34.1680858969305
MY16,0.0342533529284617,30.6328784032466
MY18,0.0342294528637958,22.0566438723625
MY23,-0.0530717552513574,19.0522142010565
N2,0.0770047221608533,-15.5685272908798
NIC1,-0.0410024621048429,11.9124869323367
NIC166,-0.0101544989774458,-9.06775188944083
NIC195,0.0248650372282039,8.14478716542879
NIC199,-0.0236908932015619,33.8577919214164
NIC2,-0.0555539639105905,12.1925551671307
NIC207,0.0285413331404147,17.1579966608051
NIC231,-0.037217227557702,-31.1401741663605
NIC236,0.0270525368693782,16.1012958767415
NIC242,-0.00261395740418753,5.42216972745624
NIC251,-0.0428320866974108,31.2070479219835
NIC252,-0.0637618235792955,19.3122038448531
NIC255,-0.0269283429514257,17.5009774126966
NIC256,-0.0330938665129356,17.5888363941229
NIC258,-0.0522486602357131,16.8261183622712
NIC259,0.00282400076878532,-36.0356778815044
NIC260,-0.0818022499624436,32.7024097375724
NIC261,-0.0579399271976033,19.1193074543809
NIC265,-0.0243973171751116,0.518274354139955
NIC266,0.00903923284647498,-35.6670635281796
NIC267,0.0152358671473252,-17.9885970169079
NIC268,0.00114150545825275,7.06334706892086
NIC269,-0.0104371607080963,3.85097381186721
NIC271,-0.0302931323926554,11.8333392972846
NIC272,-0.0349399205419182,-5.47754956173263
NIC274,-0.023907138792839,-41.3863081562811
NIC275,0.0793577965469961,7.25830487070743
NIC276,-0.0281647253557287,-25.7189543525097
NIC277,0.0551527802309249,-35.7244514493479
NIC3,-0.0201802016714755,-40.1200101626743
PB303,-0.0237624209829083,20.6165314068705
PB306,-0.0330138649529132,25.2831757689337
PS2025,0.00675036704700145,-17.2063763560673
PX179,0.034016054984792,26.9159226178607
QG2075,-0.0256828483435668,11.1206817285905
QG536,0.0196049634499355,-118.017638164785
QG556,-0.0338049117808133,8.72993297499759
QG557,0.0434515066486282,21.7164152876306
QW947,0.0121926070609259,13.6856281579114
QX1212,0.0443024581854467,44.5154983066296
QX1233,-0.014521948578546,-22.8351044690559
QX1791,NA,NA
QX1792,0.0219757321360488,-66.9292105600775
QX1793,-0.0597740953808393,17.7727371265806
QX1794,0.041441625135837,20.8028053613746
RC301,0.0120535358231825,26.7028976002635
WN2001,0.0322382776466242,-23.1034003583357
WN2002,-0.00873580700669018,-11.584889955835
