date,experiment,round,assay,plate,condition,control,strain,row,col,trait,phenotype,.fitted,.se.fit,.hat,.sigma,.cooksd,.std.resid
20161017,top,2,dact,8,Dactinomycin,DMSO,ECA402,D,10,cv.TOF,0.379733491795338,0.573511399651416,0.00816804620917838,0.00296892732838771,0.14826045443542,0.0191647510180275,2.53691638693205
20161017,top,2,dact,8,Dactinomycin,DMSO,ECA402,D,11,cv.TOF,0.192431839896765,0.573511399651416,0.00816804620917838,0.00296892732838771,0.14970916995766,0.00492151984219946,1.28559502532555
20161017,top,2,dact,8,Dactinomycin,DMSO,ECA402,D,2,cv.TOF,0.241534647384546,0.573511399651416,0.00816804620917838,0.00296892732838771,0.149422229045823,0.00775361533280029,1.6136401402591
20161017,top,2,dact,8,Dactinomycin,DMSO,ECA402,D,3,cv.TOF,0.198747081725192,0.573511399651416,0.00816804620917838,0.00296892732838771,0.14967593254537,0.0052498500235115,1.32778577443812
20161017,top,2,dact,8,Dactinomycin,DMSO,ECA402,D,4,cv.TOF,0.124833632288969,0.573511399651416,0.00816804620917838,0.00296892732838771,0.149997409575662,0.0020711358714073,0.833986188304986
20161017,top,2,dact,8,Dactinomycin,DMSO,ECA402,D,5,cv.TOF,0.319381588134332,0.573511399651416,0.00816804620917838,0.00296892732838771,0.148832511342563,0.0135570478222809,2.1337185213546
20161017,top,2,dact,8,Dactinomycin,DMSO,ECA402,D,6,cv.TOF,0.1048083053669,0.573511399651416,0.00816804620917838,0.00296892732838771,0.150059142899658,0.00145994593693989,0.700201359945283
20161017,top,2,dact,8,Dactinomycin,DMSO,ECA402,D,7,cv.TOF,0.523147691632959,0.573511399651416,0.00816804620917838,0.00296892732838771,0.146490920580272,0.0363742462430951,3.49503528228326
20161017,top,2,dact,8,Dactinomycin,DMSO,ECA402,D,8,cv.TOF,0.36161135858149,0.573511399651416,0.00816804620917838,0.00296892732838771,0.148442843660993,0.0173791888752825,2.41584637938803
20161017,top,2,dact,8,Dactinomycin,DMSO,ECA402,D,9,cv.TOF,0.213902673415919,0.573511399651416,0.00816804620917838,0.00296892732838771,0.149591756868547,0.00608103917051197,1.42903696703658
20161017,top,2,dact,8,Dactinomycin,DMSO,ECA549,F,1,cv.TOF,0.0955143705307803,0.788660421345084,0.0112322349107831,0.00561429916308875,0.150083803005136,0.00230508232492818,0.638958835977055
20161017,top,2,dact,8,Dactinomycin,DMSO,ECA549,F,11,cv.TOF,0.0206980529080659,0.788660421345084,0.0112322349107831,0.00561429916308875,0.150200742627653,0.000108245036280565,0.138462973892157
20161017,top,2,dact,8,Dactinomycin,DMSO,ECA549,F,3,cv.TOF,0.0306041559397547,0.788660421345084,0.0112322349107831,0.00561429916308875,0.150193909925494,0.000236651802785279,0.204731452939055
20161017,top,2,dact,8,Dactinomycin,DMSO,ECA549,F,4,cv.TOF,0.201878518911493,0.788660421345084,0.0112322349107831,0.00561429916308875,0.149657591757796,0.0102974389191303,1.35049901638509
20161017,top,2,dact,8,Dactinomycin,DMSO,ECA549,F,5,cv.TOF,0.187444400699409,0.788660421345084,0.0112322349107831,0.00561429916308875,0.149733398404317,0.00887756679092636,1.25393964715199
20161017,top,2,dact,8,Dactinomycin,DMSO,ECA549,F,6,cv.TOF,0.0710168416774897,0.788660421345084,0.0112322349107831,0.00561429916308875,0.150138683811717,0.00127430008766807,0.475078652990678
20161017,top,2,dact,8,Dactinomycin,DMSO,ECA549,F,7,cv.TOF,0.0752228378386103,0.788660421345084,0.0112322349107831,0.00561429916308875,0.150130410693186,0.0014297115702226,0.503215344844471
20161017,top,2,dact,8,Dactinomycin,DMSO,ECA549,F,9,cv.TOF,-0.155068566180865,0.788660421345084,0.0112322349107831,0.00561429916308875,0.149882876780387,0.00607570315911108,-1.03735626370093
20161017,top,2,dact,10,Dactinomycin,DMSO,N2,A,1,cv.TOF,-0.00830282945893228,0.639773038219199,0.0091117556560115,0.00369459914462921,0.150205577252016,1.14182037012872e-05,-0.0554895845034768
20161017,top,2,dact,10,Dactinomycin,DMSO,N2,A,10,cv.TOF,-0.0900820136050691,0.639773038219199,0.0091117556560115,0.00369459914462921,0.150097578374106,0.00134406948825604,-0.602037357373909
20161017,top,2,dact,10,Dactinomycin,DMSO,N2,A,11,cv.TOF,-0.0929395553094441,0.639773038219199,0.0091117556560115,0.00369459914462921,0.150090555587074,0.00143069392082857,-0.621134919555744
20161017,top,2,dact,10,Dactinomycin,DMSO,N2,A,2,cv.TOF,-0.0710213383974901,0.639773038219199,0.0091117556560115,0.00369459914462921,0.150138805940974,0.000835455372420639,-0.474650789595327
20161017,top,2,dact,10,Dactinomycin,DMSO,N2,A,3,cv.TOF,-0.0669157389633685,0.639773038219199,0.0091117556560115,0.00369459914462921,0.15014640801011,0.000741655305952675,-0.447212190758153
20161017,top,2,dact,10,Dactinomycin,DMSO,N2,A,4,cv.TOF,0.0557773323892092,0.639773038219199,0.0091117556560115,0.00369459914462921,0.150164751408668,0.000515301054408068,0.37277183811837
20161017,top,2,dact,10,Dactinomycin,DMSO,N2,A,5,cv.TOF,-0.0335726384615655,0.639773038219199,0.0091117556560115,0.00369459914462921,0.150191377712044,0.000186688041106871,-0.224373121010399
20161017,top,2,dact,10,Dactinomycin,DMSO,N2,A,6,cv.TOF,-0.0532832427696931,0.639773038219199,0.0091117556560115,0.00369459914462921,0.150168402180832,0.000470247880664812,-0.356103303929403
