strain,condition,dose_µM,trait,phenotype,Broad_sense_heritability
N2,Etoposide,250,q75.TOF,-49.8666666666667,0.615354748540869
CB4856,Etoposide,0,q75.TOF,6.4375,1.04248603569343e-33
CB4856,Etoposide,31,q75.TOF,76.6875,0.0525360298460579
CB4856,Etoposide,62,q75.TOF,11.6875,0
CB4856,Etoposide,125,q75.TOF,-48.3125,0.304381766046181
CB4856,Etoposide,250,q75.TOF,-152.8125,0.615354748540869
N2,Etoposide,0,q75.TOF,-6.11666666666667,1.04248603569343e-33
N2,Etoposide,250,q75.TOF,-39.6166666666667,0.615354748540869
N2,Etoposide,500,q75.TOF,-181.866666666667,0.335380329410988
N2,Etoposide,1000,q75.TOF,-240.116666666667,0.891618087642147
N2,Etoposide,2000,q75.TOF,-266.116666666667,0.150469799098114
JU258,Etoposide,0,q75.TOF,-53.640625,1.04248603569343e-33
JU258,Etoposide,250,q75.TOF,-74.640625,0.615354748540869
JU258,Etoposide,500,q75.TOF,-118.140625,0.335380329410988
JU258,Etoposide,1000,q75.TOF,-266.640625,0.891618087642147
JU258,Etoposide,2000,q75.TOF,-183.390625,0.150469799098114
CB4856,Etoposide,0,q75.TOF,16.9375,1.04248603569343e-33
CB4856,Etoposide,250,q75.TOF,-182.3125,0.615354748540869
CB4856,Etoposide,500,q75.TOF,-271.0625,0.335380329410988
CB4856,Etoposide,1000,q75.TOF,-280.0625,0.891618087642147
CB4856,Etoposide,2000,q75.TOF,-229.3125,0.150469799098114
DL238,Etoposide,0,q75.TOF,26.03125,1.04248603569343e-33
DL238,Etoposide,250,q75.TOF,-33.71875,0.615354748540869
DL238,Etoposide,500,q75.TOF,-102.96875,0.335380329410988
DL238,Etoposide,1000,q75.TOF,-171.46875,0.891618087642147
DL238,Etoposide,2000,q75.TOF,-204.96875,0.150469799098114
CB4856,Etoposide,0,q75.TOF,-51.0625,1.04248603569343e-33
CB4856,Etoposide,250,q75.TOF,-149.8125,0.615354748540869
CB4856,Etoposide,500,q75.TOF,-275.5625,0.335380329410988
CB4856,Etoposide,1000,q75.TOF,-297.5625,0.891618087642147
CB4856,Etoposide,2000,q75.TOF,-248.3125,0.150469799098114
N2,Etoposide,0,q75.TOF,80.1333333333333,1.04248603569343e-33
N2,Etoposide,250,q75.TOF,-22.1166666666667,0.615354748540869
N2,Etoposide,500,q75.TOF,-61.8666666666667,0.335380329410988
N2,Etoposide,1000,q75.TOF,-239.116666666667,0.891618087642147
N2,Etoposide,2000,q75.TOF,-240.866666666667,0.150469799098114
DL238,Etoposide,0,q75.TOF,-15.71875,1.04248603569343e-33
DL238,Etoposide,250,q75.TOF,-89.21875,0.615354748540869
DL238,Etoposide,500,q75.TOF,-221.71875,0.335380329410988
DL238,Etoposide,1000,q75.TOF,-195.71875,0.891618087642147
DL238,Etoposide,2000,q75.TOF,-208.46875,0.150469799098114
JU258,Etoposide,0,q75.TOF,4.359375,1.04248603569343e-33
JU258,Etoposide,250,q75.TOF,-43.640625,0.615354748540869
JU258,Etoposide,500,q75.TOF,-59.640625,0.335380329410988
JU258,Etoposide,1000,q75.TOF,-236.640625,0.891618087642147
JU258,Etoposide,2000,q75.TOF,-268.640625,0.150469799098114
DL238,Etoposide,0,q75.TOF,-10.96875,1.04248603569343e-33
DL238,Etoposide,250,q75.TOF,-105.71875,0.615354748540869
DL238,Etoposide,500,q75.TOF,-203.71875,0.335380329410988
DL238,Etoposide,1000,q75.TOF,-211.96875,0.891618087642147
DL238,Etoposide,2000,q75.TOF,-235.46875,0.150469799098114
CB4856,Etoposide,0,q75.TOF,17.9375,1.04248603569343e-33
CB4856,Etoposide,250,q75.TOF,-108.8125,0.615354748540869
CB4856,Etoposide,500,q75.TOF,-216.3125,0.335380329410988
CB4856,Etoposide,1000,q75.TOF,-277.5625,0.891618087642147
CB4856,Etoposide,2000,q75.TOF,-299.3125,0.150469799098114
JU258,Etoposide,0,q75.TOF,44.359375,1.04248603569343e-33
JU258,Etoposide,250,q75.TOF,-141.140625,0.615354748540869
JU258,Etoposide,500,q75.TOF,-233.640625,0.335380329410988
JU258,Etoposide,1000,q75.TOF,-235.640625,0.891618087642147
JU258,Etoposide,2000,q75.TOF,-302.640625,0.150469799098114
N2,Etoposide,0,q75.TOF,31.1333333333333,1.04248603569343e-33
N2,Etoposide,250,q75.TOF,-52.6166666666667,0.615354748540869
N2,Etoposide,500,q75.TOF,-16.1166666666667,0.335380329410988
N2,Etoposide,1000,q75.TOF,-243.116666666667,0.891618087642147
N2,Etoposide,2000,q75.TOF,-275.116666666667,0.150469799098114
JU258,Etoposide,0,q75.TOF,50.859375,1.04248603569343e-33
JU258,Etoposide,250,q75.TOF,-108.640625,0.615354748540869
